id,nickname
8699,silvi
8725,sergi_torne_viudas
8734,maria_iborra_cano
8761,ventura_gileto
8800,joan_arman_juncosa
8815,gonzalo_zaragoza
8835,mari_carmen_castro_a
5723,nuria_graell_g
8845,fabiana
8861,alejandra_rueda
8866,pedro_tarraga
8304,lvic
8436,marta_sole_andres
8921,casa_lila
8930,rafael_granero
8948,joann
8951,merce_aranda
8862,jordi_sanchis
8987,lola_mateo
9011,associacio_amics_i_v
9025,jose_2_3_4
9055,esther_f_g
31289,associacio_de_vei_14
9100,pau_ocean
7775,sandrav
753,sergio_2
9160,ignasi_flores
9159,jodira
8999,bg
4782,hector_ayon
9247,maz
2187,anna_cc
3907,aritz_garcia_gomez
9280,sonia_altisent
9284,cosme
9298,alberto_m
4173,isabel_puig_boncompt
3177,josep_m_guillumet_an
7538,marti_sales
9317,cecilia_illa_malvehy
9340,raquel_garcia
9344,ade_2
31192,taller_ocupacional_a
9404,patsili_toledo
9411,okiabril
9434,mluisa
9438,guillem_artis_del_po
9448,mangels
9469,cglquemasuelas
6973,sergi_g_r_2
1932,j_morrus_serinya
9517,bcnmarinero
2230,tomas
9554,francesc_paul
7229,benua
9630,olfequir
8754,arnau_b
8662,angels_2_3
9174,susana_palma
9283,Dinamitzacio34
9711,marta_laurent_vecian
9760,oscar_luigi
9462,antoni
9268,suport_decidim_sants
3346,andreu_parera
9815,anaralla
9921,angel_docampo
9818,ass_plataforma_veina
9943,oscar_ortega_benito
4712,maite_batlle_ciutat_
3992,carmerq
9428,insamo_arcangel
10012,albert_marco
483,dani_estevez
10009,david_v_v
7481,beni_rubio
8247,anabel-lise_le_roux
10020,tb
10054,observatori_cultural
10056,jofaro
9264,suportdecidim_santan
10073,robert_uribe
10079,danibru
10081,esters
10067,margarita_lopez_carr
232,laia_ortiz
10107,recuperem_el_borsi
276,xavier_duacastilla_s
10144,associacio_planifica
10156,charles
5159,lucinio
9501,sara_pascual
9993,rosa_sielva
9262,suport_general_-_dec
8853,cristincelma
10181,annabelichenko
10048,federico
10197,antonito
10192,eli_rolando
6712,jose_m_aguilar
10201,roger_majoral
10213,sheilalopez
10210,gloria_dova
10250,miquel_campabadal_ov
9289,suport_decidim_hg_i_
10255,miguel_a_alba
10283,
10313,quim_2_3
10323,monica_2_3_4_5
10324,aida_2
10329,xavier_prat
10282,vktr
9270,joan_santsmonlacol_2
31331,colla_del_drac_del_p
9543,elenagaro4
10026,silviac
31332,ampa_escola_mirallet
10395,federic_g
9274,suport_decidim_san_2
10425,mar-31
9267,suport_ciutat_vella
10433,xibeca92
10439,sagui
1,Barcelona_cat
10449,carmencascajosa
10446,pakomen
10454,msl
4422,smielyi
31335,al_carrer_escola_d_s
5102,marc_oller_duran
10490,javier_nunez_alcazar
894,pere_marine
131,ferran_izquierdo
10196,enriqueibanez
10567,elvjspad
609,can_70_anna
10544,sabine_momberger
10592,carme_sole
2962,xavier_riu
10613,itziar1900_2
10615,inmaC
10627,xavi_canadell
10634,joanag
4744,francesca_blanch
10669,xavier_xargay
5346,txemabcn
10684,francisca
9272,annab_santsmontlac_2
10712,froila
10715,avv_diagonal_mar
10719,martad
10737,lluisda
10746,fijembiai_gmail_co_2
10298,smarti1290
10759,josep_lluis
10762,smarti
10381,silviaxal
10752,joan_ribas
10784,
5767,sandra_garcia_bote_2
1078,joan_c
10785,e_ustrell
10754,esplai_matinada_port
9948,lluis_2_3
886,mariano
10703,suport_decidim_bar_2
31337,institut_barcelona-c
10936,jordi_moncosi
10966,
10965,jorge_damont
10973,llibertari_barceloni
4659,ferran_lorenzo_m
9147,joaquim_2
10984,ruben_2_3_4
11002,cesar_ochoa
11011,enar1987
11012,diego09
11047,ariel_vazquez
8697,
123,rafael_gomez-moriana
4080,elizabeth
11082,abstractlu
2491,encarna
11106,neleeta
11112,jregas
9913,cris_silvan
11111,florenci
11110,joseruiz
11124,habellan
5158,maria_jose_de_julian
10121,castellers_del_poble
11167,aitorg
11174,toniaca
11070,meant47
11180,eudaldxxl
11214,abd_associacio_benes
9217,jose_pc
916,amos
11241,vei_de_barcelona
11236,toni_caparros
11246,miguel_vila_despujol
11262,maria_a
10157,victoria_gonzalez
10306,Punt6
908,mon
11403,emilio_2_3
10867,ampa_escola_pau_casa
11089,quim_sants
11301,karles23
10597,cesar_lobato
11477,carmen_dropez
11490,nuria_abd
11513,ja_plana
11517,josep_ramon_badia
8923,b_carreras
11543,sant_salvador
11544,jbernado
11545,gumer
11552,carme_menendez
11554,anna_ylla-catala_i_p
10337,rafaela_subias
11583,jesus1975
8968,angel_berruezo_2
6453,alfons_duran
11620,ei_horta
11637,draudet
9831,ensvolemvives_2
11610,consellsectorialdone
11662,assemblea_arts_al_ca
11660,Trinitat
31316,casal_dels_infants_a
2476,nuria_2
8773,anna_moreno
7543,manul_alminana
1756,rake
7328,associacio_de_vein_4
3513,jan_labrador
7303,martha
11767,alfred
11802,mariaproposa
11811,apaytuse
11818,anonim_2_3_4_5_6_123
11844,gabriel_2
11880,futurista
7141,reig_marina
11925,salvador_2
11926,john_stone
11766,chico
11752,borisvg
7440,inma_vicente_molina
9966,monsan
11971,_2_3_4_5_6_7_8_9__20
11990,rogertorrell
12017,trini_2_3
2416,german_alonso
81,francesc
12081,eduard_saavedra
4788,lauragsa
11288,alexgt9
7555,german_aguilar
942,carlos_rincon_sanche
12132,_2_3_4_5_6_7_8_9__21
12142,ferranf75
12145,miquel_marti
31360,gats_de_gracia
12166,oriol_estape
12157,zia
2759,sergi_romero
31341,associacio_de_vei_18
12172,albertgs12
9606,miquel12
400,marianoanibal
9563,josep_viver
8834,xavier_mg
12114,nuria_m_p
12155,adam123
11655,consellbarrisantsbad
804,joan_rafael_rabasco_
12193,dunadesal
8069,joana
10402,enricdjavan
11600,consellbarrisants
31343,associacio_de_vei_19
12301,aavv_i_comerciants_c
2750,josep_m
12314,juantb
11692,anonim_2_3_4_5_6_121
1758,j_c_h_v
11361,leo_pereira
10230,crisgutval
12370,masaltaba
12382,arnau_amill
12372,feydo
31363,esplai_espurna_de_gr
12408,marc_amoros
31364,federacio_coordinado
31365,afa_ceip_congres_ind
12442,gerardml
12443,rafael_luna
1386,yomismo_gpsando
12488,abotsibarrals
12489,vall_de_can_masdeu
9763,dinamitzacio_sants_2
12475,barriobajerayeye
12503,boletnegre
12507,joan_lluis
12545,hector_912
912,luis_lopez
12179,democracia_activa5
9263,suport_decidim_activ
9308,edgar_mrtn
9530,gr_raons_publiques
3717,salvador_pastor_blas
12289,larrytron
31370,associacio_de_vei_22
12662,jotaess_2
1325,agapit_custoja
12657,xeniaclar
12699,ramon_2_3_4
10152,donna_m_ramirez
12718,judith_vicente
12735,pau_c
2627,iolanda_fresnillo
12663,mariza_diaz
613,josep_m_armengou
12766,ion
12091,anonim_2_3_4_5_6_127
12791,oriolqc
12802,merce22
10579,albertbarna
12816,jordipi2
12825,kglez
9898,m_eugenia_sanchez_ca
12885,pau_2_3
12911,mariusg
12899,anonim_2_3_4_5_6_141
12859,oriol_a_2
